id,nombre,documento
14,programacion orientada a objetos ,programacion orientada a objetos fundamentos programacion orientada a objetos herencia polimorfismo manipulacion archivos y manejo excepciones manejo colecciones v programacion con interfaces graficas usuario (gui) y manejo eventos 
15,electricidad y magnetismo ,electricidad y magnetismo introduccion resena historica del electromagnetismo carga electrica y sus propiedades ley coulomb y campo electrico voltaje y capacitancia circuitos electricos ley ohm reglas kirchhoff magnetismo movimiento cargas campos magneticos teorema gauss del magnetismo introduccion a ondas electromagneticas ley faraday principio conservacion carga y ecuaciones maxwell 
16,estructura datos ,estructura datos introduccion tipos datos primitos compuestos y abstractos representacion relaciones estructuras elementales arreglos listas pilas y colas estructuras avanzadas arboles y grafos otras estructuras conjuntos mapas tablas hash 
17,fisica ,fisica cinematica particula y dos dimensiones leyes del movimiento trabajo y energia impulso y cantidad movimiento 
18,introduccion a investigacion cientifica,introduccion a investigacion cientifica introduccion investigacion cientifica identificando problema a investigar revision literatura diseno investigacion 
19,fundamentos ciencias computacion ,fundamentos ciencias computacion computador como maquina computable modelo von neumann modelo turing sistemas numeracion binario octal decimal hexadecimal conversiones entre sistemas definicion y conversion computacionales bits bytes kilobytes teoria conjuntos y grafos introduccion a teoria conjuntos relaciones y sus propiedades diagramas venn teoria grafos terminologia tipos grafos representacion caracterizacion grafos logica computacional razonamiento y logica logica proposicional leyes del algebra de proposiciones circuitos combinatorios y logica predicados 
20,matematica discreta ,matematica discreta logica matematica y demostraciones conjuntos y sucesiones introduccion a teoria numeros y tecnicas conteo estructuras numeros enteros como grafos y arboles v algoritmos y aplicaciones a teoria grafos y arboles 
21,metodos numericos ,metodos numericos metodos calculo raices funciones metodos resolucion sistemas ecuaciones lineales interpolacion y ajuste curvas diferenciacion e integracion numerica 
22,analisis y diseno algoritmos ,"analisis y diseno algoritmos introduccion al analisis algoritmos algoritmos importancia del tiempo ejecucion uso analisis y diseno analisis algoritmos tiempos ejecucion analisis asintotico notacion gran ""o"" analisis tiempo ejecucion algoritmos ordenamiento busqueda y arboles tecnicas diseno eficientes estrategias ""backtracking"" dividir y vencer voraz programacion dinamica seleccion estrategia correcta y verificacion correccion del algoritmo complejidad computacional p y np npcompleto np hard pruebas y verificacion "
23,bases datos , introduccion introduccion e historia sistemas bases datos tipos bases datos modelo conceptual entidades integridad entidades y relaciones tipos relaciones modelo relacional origenes del modelo relacional y sgbd relacionales conceptos dominio atributo y relacion clave primaria y claves externas reglas integridad algebra relacional operadores relacionales basicos y derivados lenguaje estructurado consultas (sql) conversion expresiones algebra relacional objetos simples operadores procedimientos almacenados disparadores bases datos 
24,interaccion humano computador , fundamentos interaccion humano computador diseno centrado usuario iteraciones prototipos evaluacion interfaces usabilidad y accesibilidad interaccion humano computador 
25,sistemas operativos , vision general del sistema operativos neles ejecucion y secuencia arranque sistemas operativos procesos e hilos algoritmos planificacion procesos gestion memoria requisitos objetos y mapa memoria algoritmos asignacion memoria virtualizacion ciclo vida pagina politica administracion memoria virtual politicas localizacion extraccion y reemplazo sistemas operativos 
26,teoria automatas y lenguajes formales , introduccion fundamentos matematicos basicos alfabetos y lenguajes representacion finita lenguajes automatas finitos automatas deterministas y no deterministas automatas finitos lenguajes libres contexto gramaticas libres contexto lenguajes regulares y lenguajes libres contexto propiedades lenguajes libres contexto maquinas turing operaciones turing computable turing decidible turing aceptable teoria automatas y lenguajes formales 
27,arquitectura y organizacion del computador , introduccion a arquitectura del computador aritmetica y juegos instruccion es computadores procesador y sistemas memoria programacion ensamblador (x86 64)arquitectura y organizacion del computador 
28,bases datos avanzadas , introduccion a bases datos no relacionales modelos datos modelos basados agregacion y grafos bases datos clave valor diseno implementacion y consultas bases datos clave valor bases datos documentales (xml) diseno implementacion y consultas bases datos documentales bases datos orientada a grafos propiedades grafos diseno implementacion y consultas bases datos orientadas a grafos bases datos avanzadas 
29,estadistica descriptiva , introduccion a estadistica descriptiva muestreo y probabilidad variables aleatorias discretas y continuas convergencia y teorema central del limite estadistica descriptiva 
30,programacion funcional y reactiva , principios y patrones diseno programas programacion funcional programacion reactiva y dirigida eventos desarrollo aplicaciones con paradigma funcional reactivo programacion funcional y reactiva 
31,redes computadoras , fundamentos redes datos arquitectura red (osi y tcp ip) capa fisica y enlace datos capa red y direcciona miento ipv4 ipv6 redes computadoras 
32,desarrollo aplicaciones multiplataforma , introduccion a plataformas desarrollo front end back end desarrollo aplicaciones escritorio desarrollo aplicaciones web desarrollo aplicaciones moviles desarrollo aplicaciones multiplataforma 
33,estadistica inferencial , inferencia y estimacion estadistica pruebas hipotesis y bondad ajuste estadistica parametrica estadistica no parametrica estadistica inferencial 
34,metodos optimizacion , fundamentos y modelacion programacion lineal definiciones y conceptos generales metodo grafico y simplex branch and bound optimizacion redes problema flujo a costo minimo simplex redes problema ruta mas corta (dijkstra) optimizacion multiobjeto conceptos generales metodos pesos y pareto metodos optimizacion 
35,mineria datos , introduccion al analisis datos proceso kdd
36,computacion paralela y distribuida , conceptos arquitecturas paralelas metodologia diseno algoritmos paralelos diseno aplicaciones paralelas y distribuidas computacion paralela y distribuida 
37,computacion cientifica , introduccion y representaciones numericas y algoritmos construccion modelos matematicos analisis error y convergencia visualizacion cientifica computacion cientifica 
38,internet cosas , fundamentos sensores y sistemas embebidos comunicacion inalambrica internet cosas redes sensores transmision y almacenamiento datos internet cosas 
39,seguridad informacion , conceptos fundamentales seguridad criptografia y cifrado seguridad sistemas operativos seguridad red y web v factor humano y seguridad informacion seguridad informacion 
40,simulacion , simulacion eventos discretos simulacion eventos continuos variables aleatorias simulacion nidad analisis resultados simulacion simulacion 
41,ingenieria del software , fundamentos ingenieria software modelado requerimientos desde enfoque analisis estructurado modelado requerimientos desde enfoque orientado a objetos metodologias agiles v diseno software ingenieria del software 
42,realidad socio economica cultural y ecologica del ecuador , paisaje geografico historico y ambiental del ecuador paisaje sociocultural politico ecuatoriano poblacion recursos y sistema economico del ecuador sistema producto y distribucion riqueza ecuatoriana realidad socio economica cultural y ecologica del ecuador 
43,seminario titulacion ,modalidades titulacion carrera estructuracion y metodologia desarrollo del trabajo titulacion contextualizacion del trabajo titulacion seminario titulacion 
44,auditoria informatica , introduccion a auditoria sistemas planeacion y control testeo y evaluacion reportes auditoria informatica 
45,desarrollo del trabajo titulacion , elaboracion estudios trabajo titulacion fundamentos y argumentos propuesta presentacion propuesta titulacion desarrollo del trabajo titulacion 
46,etica profesional ,introduccion etica social y profesional etica computacional etica profesional 
47,ingenieria del software , herramientas desarrollo y construccion software verificacion validacion y control versiones pruebas software evolucion y confiabilidad software ingenieria del software
48,administracion base datos , administracion y arquitectura sistemas gestores bases datos bases datos distribuidas y paralelas optimizacion diseno fisico y objetos y estructuras avanzadas gestion bases datos administracion base datos 
49,administracion sistemas operativos , sistemas operativos escritorio servicios basico sistema operativos servicios avanzado sistema operativos proteccion y seguridad v introduccion a virtualizacion administracion sistemas operativos 
50,algebra lineal , matrices y determinantes sistemas ecuaciones lineales vectores espacios vectoriales y producto interno v transformaciones lineales valores y vectores caracteristicos algebra lineal 
51,aplicaciones empresariales , librerias y frameworks desarrollo aplicaciones con framework diseno experiencia usuario (ux) prueba software aplicaciones empresariales 
52,aplicaciones moviles , arquitectura android y entorno desarrollo implementacion interfaces usuario manejo archivos consumo servicios web y base datos aplicaciones moviles avanzadas aplicaciones moviles 
53,bases datos , fundamentos bases datos relacionales diseno y modelo datos lenguaje sql definicion de datos manipulacion datos normalizacion bases datos 
54,calculo varias variables, calculo integral funciones varias variables sucesiones y series infinitas funciones varias variables calculo diferencial e varias variables calculo integral funciones varias variables 
55,calculo variable , conjuntos desigualdades y funciones reales limites y continuidad de funciones reales derivacion funciones reales integracion funciones reales calculo variable 
56,computacion sociedad , etica y moral profesional privacidad propiedad intelectual tecnologias informacion derechos y responsabilidad ciudadanos computacion sociedad 
57,comunicacion y lenguaje , saber escuchar saber hablar saber leer saber redactar comunicacion y lenguaje 
58,desarrollo aplicaciones web , programacion web cliente programacion web servidor servicios web y manejo estados sistema control versiones desarrollo aplicaciones web 
59,desarrollo trabajo titulacion , elaboracion estudios trabajo titulacion fundamentos y argumentos propuesta presentacion propuesta titulacion desarrollo trabajo titulacion 
60,desarrolo sistemas informaticos , desarrollo software desarrollo sistema y bases de datos introduccion a aplicaciones web estilo documento web de ssarrolo sistemas informaticos 
61,electricidad y magnetismo , electrostatica electrodinamica electromagnetismo electricidad y magnetismo 
62,emprendimieno e innovacion , forjadores empresa empresa y sus generalidades fomentar emprendimiento herramientas emprender emprendimieno e innovacion 
63,escalabilidad redes , comunicaciones inalambricas y wlan redes celulares nueva generacion protocolo ospf multiples areas protocolo stp protocolo is isprotocolo bgp calidad servicio (qos) escalabilidad redes 
64,estadistica , estadistica descriptiva probabilidades variable aleatoria inferencia estadistica v regresion lineal estadistica 
65,estructura datos , tipos datos listas pilas y colas conjuntos y mapas v arboles y grafos estructura datos 
66,fisica , cinematica particula en una y dos dimensiones leyes movimiento trabajo y energia impulso y cantidad movimiento fisica 
67,fundamentos programacion , algoritmos y diagramas flujos introduccion a programacion arreglos n dimensionales funciones colecciones y archivos fundamentos programacion 
68,fundamentos sistemas digitales , principios electronica principios diseno logico digital lenguaje descripcion hardware vhdl bloques constructos circuitos combinacionales v principios diseno logico secuencial vi fundamentos fpgas fundamentos sistemas digitales 
69,fundamentos tecnologias informacion , fundamentos hardware fundamento software internet y herramientas tic introduccion a seguridad informatica fundamentos tecnologias informacion 
70,gestion proyectos ti, v herramientas monitoreo proyectos conceptos fundamentales gestion proyectos etapas gestion proyecto planificacion gestion costo calidad recursos humanos gestion comunicaciones y riesgos proyecto v herramientas monitoreo proyectos 
71,gestion redes , gestion redes analisis snmp y rmon monitorizacion y analisis rendimiento redes mantenimiento preventivo y gestion incidencias redes gestion redes 
72,gobierno ti , gobierno y gestion tic objetos control informacion y tecnologias relacionadas(cobit) biblioteca infraestructura tecnologias informacion (itil) control interno informatico estandares normas y mejores practicas diseno construccion y gestion data centers gobierno ti 
73,interaccion humano computador , fundamentos interaccion humano computador diseno centrado usuario iteraciones prototipos evaluacion interfaces usabilidad y accesibilidad interaccion humano computador 
74,informatica forence , fundamentos informatica forense estandares y procedimientos manejo evidencia digital analisis forense datos almacenados analisis forense redes v presentacion evidencias informatica forence 
75,ingenieria software , fundamentos ingenieria de software modelado requerimientos desde enfoque analisis estructurado modelado requerimientos desde enfoque orientado a objetos metodologias agiles v diseno ingenieria software 
76,instalaciones electricas y cableado estructurado , introduccion a estandares isotia bicsi y principios transmision areas trabajo (sistemas de distribucion horizontal sistemas de distribucion principal o backbone) espacios cuarto o gabinetes en telecomunicaciones y certificaciones de puntos conceptos basicos de instalaciones electricas v diseno instalaciones el?ctricas en baja tension vi sistemas puesta a tierra y mantenimiento sistemas telecomunicaciones instalaciones electricas y cableado estructurado 
77,introduccion a investigacion cientifica , introduccion investigacion cientifica metodo cientifico practica ciencia diseno investigacion introduccion a investigacion cientifica 
78,matematicas discretas , logica matematica demostraciones conjuntos y sucesiones introduccion a teoria de numeros y tecnicas conteo estructuras numeros enteros como grafos y arboles v algoritmos y aplicaciones a la teoria grafos y arboles matematicas discretas 
79,metodos numericos , metodos calculo raices de funciones metodos resolucion de sistemas ecuaciones lineales interpolacion y ajuste curvas diferenciacion e integracion numerica metodos numericos 
80,mineria datos , fundamentos y conceptos basicos mineria datos visualizacion y reduccion dimensionalidad y clustering metodos predictos y arboles decision aplicaciones data mining mineria datos 
81,programacion orientada a objetos , fundamentos programacion orientada a objetos herencia polimorfismo manipulacion archivos y manejo excepciones manejo colecciones v programacion con interfaces graficas usuario (gui) y manejo eventos programacion orientada a objetos 
82,realidad socioeconomica cultura y ecologia ecuador , paisaje geografico historico y ambiental ecuador paisaje sociocultural politico ecuatoriano poblacion recursos y sistema economico ecuador sistema producto y distribucion riqueza ecuatoriana realidad socioeconomica cultura y ecologia ecuador 
83,redes computadoras , fundamentos redes datos arquitectura red (osi ytcp ip) capa fisica y enlace datos capa red y direccionamiento ipv4 ipv6 v protocolos capa transporte redes computadoras 
84,redes inalambricas sensores , introduccion a redes inalambricas sensores capa fisica comunicacion sensores aplicaciones redes sensores inalambricas v seguridad redes sensores inalambricos redes inalambricas sensores 
85,redes transporte , generalidades redes transporte redes transporte mpls redes metroethernet redes gpon redes transporte 
86,seguridad informatica , fundamentos seguridad informatica seguridad fisica y logica seguridad web seguridad bases datos v seguridad redes lan e inalambrica seguridad informatica 
87,seminario titulacion , modalidades titulacion carrera estructuracion y metodologia desarrollo trabajo titulacion contextualizacion trabajo de titulacion seminario titulacion 
88,sistemas digitales , circuitos secuenciales sincronicos microprocesadores microcontroladores sistemas digitales 
89,sistemas distribuidos , fundamentos sistemas distribuidos introduccion a virtualizacion virtualizacion usuario servidores redes diseno y administracion cluster sistemas distribuidos 
90,sistemas embebidos , sistema embebidos hardware sistema embebido software sistema embebido comunicacion sistemas embebidos v aplicaciones con sistemas embebidos sistemas embebidos 
91,sistemas getion seguridad informacion , sistema gestion seguridad informacion norma iso2700 criptografia algoritmos cifra simetrica algoritmos cifra asimetrica v arquitecturas seguridad sistemas getion seguridad informacion 
92,sistemas operativos , estructura sistemas operativos procesos e hilos concurrencia exclusion mutua y sincronizacion gestion memoria v memoria virtual sistemas operativos 
93,tecnologias commutacion y enrutamiento , fundamentos conmutacion y enrutamiento lan virtuales y protocolo troncal vlan protocolos enrutamiento estatico y dinamico ciclo vida redes comunicaciones v diseno red conmutada tecnologias commutacion y enrutamiento 
94,tecnologias redes futuro , redes nueva generacion (ngn) arquitectura ngn sistema multimedia ip (ims) servicios y aplicaciones ngn v redes definidas software tecnologias redes futuro
95,algebra lineal , matrices y determinantes sistemas ecuaciones lineales vectores ry r espacios vectoriales y producto interno v transformaciones lineales valores y vectores caracteristicos algebra lineal 
96,analisis senales y sistemas , variable compleja series fourier integrales fourier analisis senales y sistemas 
97,analisis senanes y sistemas , sistemas discretos tiempo analisis frecuencia sistemas discretos sistemas continuos tiempo analisis frecuencia sistemas continuos analisis senanes y sistemas 
98,analisis redes electricas , introduccion a circuitos electricos analisis redes corriente continua analisis sinusoidal estable potencia y energia corriente alterna analisis redes electricas 
99,antenas , introduccion a sistemas radiantes antenas lineales antenas tipo lazo y parche antenas tipo apertura v arreglo antenas antenas 
100,calculo varias variables , sucesiones y series infinitas funciones varias variables calculo diferencial varias variables calculo integral funciones varias variables calculo varias variables 
101,calculo variable , conjuntos desigualdades y funciones reales limites y continuidad funciones reales derivacion funciones reales integracion funciones reales calculo variable 
102,circuitos alta frecuencia , circuitos alta frecuencia y lineas de transmision transmision y reflexion ondas planas guias ondas filtros pasos y amplificadores radiofrecuencia v componentes circuitos microondas circuitos alta frecuencia 
103,comunicaciones satelitales , introduccion a comunicaciones satelitales propagacion ondas satelitales segmentos espacial y terreno enlace satelital servicios via satelite comunicaciones satelitales 
104,comunicaciones inalambricas , caracteristicas medio inalambrico modelos gradiente caracteristico canal distorsiones fenomeno multipaso y efectodoppler capa fisica redes inalambricas v tecnicas diversidad y recepcion inteligente comunicaciones inalambricas 
105,comunicacion y lenguaje , saber escuchar saber hablar saber leer saber redactar v consideraciones estructurales escriturade proyecto investigacion comunicacion y lenguaje 
106,desarrollo trabajo titulacion , elaboracion estudios trabajo titulacion fundamentos y argumentos propuesta presentacion propuesta titulacion desarrollo trabajo titulacion 
107,diseno redes conmutadas , diseno red analisis redundancia escalabilidad y segmentacion red administracion y monitoreo redes seguridad redes diseno redes conmutadas 
108,dispositivos electronicos , fundamentos semiconductores diodos y transistores amplificadores con elementos discretos y amplificador operacional dispositivos tres y cuatro terminales v fuentes alimentacion dispositivos electronicos 
109,ecuaciones diferenciales , sucesiones y series ecuaciones diferenciales ordinarias primer orden segundo orden orden superior y soluciones enserie potencias transformada la place sistemas ecuaciones diferenciales ordinarias lineales y sistemas ecuaciones integro diferenciales ecuaciones diferenciales 
110,electricidad y magnetismo , electrostatica electrodinamica electromagnetismo electricidad y magnetismo 
111,emprendimiento e innovacion , forjadores empresa empresa y sus generalidades creatividad fomentar emprendimiento herramientas emprender emprendimiento e innovacion 
112,estadistica , estadistica descriptiva probabilidades variable aleatoria inferencia estadistica v regresion lineal estadistica 
113,fibras opticas telecomunicaciones , fibra optica y optica fisica componentes sistema comunicacion optico estandares y mediciones fibras opticas sistemas comunicacion redes opticas fibras opticas telecomunicaciones 
114,fisica , cinematica particula y dos dimensiones leyes movimiento trabajo y energia impulso y cantidad movimiento fisica 
115,fundamentos sistemas digitales , principios electronica principios diseno logico digital lenguaje descripcion hardware vhdl bloques constructos circuitos combinacionales v principios diseno logico secuencial vi fundamentos fpgas fundamentos sistemas digitales 
116,fundamentos programacion , algoritmos y diagramas flujos introduccion a programacion arreglos n dimensionales funciones colecciones y excepciones fundamentos programacion 
117,fundamentos telecomunicaciones , analisis y resolucion problemas comprension necesidades usuario definicion problema generacion ideas fundamentos telecomunicaciones 
118,fundamentos ti , fundamentos hardware fundamento software internet y herramientas tic introduccion a seguridad informatica fundamentos ti 
119,gestion proyectos telecomunicaciones , conceptos basicos restricciones y limitaciones de proyecto telecomunicaciones gestion proyectos telecomunicaciones presentacion propuesta proyecto ejecucion proyecto de telecomunicaciones gestion proyectos telecomunicaciones 
120,introduccion a investigacion cientifica , introduccion investigacion cientifica identificando problema a investigar revision literatura diseno investigacion introduccion a investigacion cientifica 
121,marco regulatorio telecomunicaciones , organismos internacionales telecomunicaciones y sociedad informacion evolucion marco regulatorio ecuadory analisis lot y su reglamento general regulacion complementaria vigente marco regulatorio telecomunicaciones 
122,matematicas discretas , logica matematica demostraciones conjuntos y sucesiones introduccion a teoria numeros y tecnicas conteo estructuras numeros enteros como grafos y arboles v algoritmos y aplicaciones a teoria grafos y arboles matematicas discretas 
123,microcontroladores , arquitectura y lenguajes programacion microcontroladores modulos microcontroladores parasistemas automatas tarjetas desarrollo con microcontroladores avanzados introduccion y programacion de microcomputadoras basadas microcontroladores microcontroladores 
124,programacion orientada a objetos , fundamentos programacion orientada a objetos herencia polimorfismo manipulacion archivos y manejo excepciones manejo colecciones v programacion con interfaces graficas usuario (gui) y manejo eventos programacion orientada a objetos 
125,procesos estocasticos , procesos estocasticos cadenas markov procesos poisson renovacion wiener analisis espectral procesos estocasticos 
126,propagacion , v modulacion pulsos banda base y senalizacion digital sistemas radiofrecuencias  fisica de radiofrecuencia mecanismos y modelos propagacion radio enlaces terrenales servicio fijo propagacion ondas sistemas que operan en troposfera ionosfera e hidrosfera v mediciones y seguridad radiocomunicaciones propagacion 
127,realidad socioeconomica cultural y ecologica ecuador , paisaje geografico historico y ambiental ecuador paisaje sociocultural politico ecuatoriano poblacion recursos y sistema economico ecuador sistema producto y distribucion lariqueza ecuatoriana realidad socioeconomica cultural y ecologica ecuador 
128,redes computadoras , fundamentos redes datos arquitectura red capa fisica y enlace datos capa red y direccionamiento ipv4 ipv6 v protocolos capa transporte redes computadoras 
129,redes inalambricas sensores , introduccion a redes inalambricas desensores capa fisica comunicacion sensores aplicaciones redes sensores inalambricas v seguridad redes sensores inalambricos redes inalambricas sensores 
130,redes nueva generacion , redes nueva generacion (ngn) arquitectura ngn sistema multimedia ip (ims) servicios y aplicaciones ngn v redes definidas software redes nueva generacion 
131,redes transporte , generalidades redes transporte redes transporte mpls redes metro ethernet redes gpon redes transporte 
132,radio definido software , introduccion a sistemas simulacion de radio procesos estocasticos sistemas radio y multiplexacion dominio frecuencia comunicacion serial asincrona diagrama ojo radio definido software 
133,seminario titulacion , modalidades titulacion carrera estructuracion y metodologia el desarrollo trabajo titulacion contextualizacion trabajo titulacion seminario titulacion 
134,sistemas comunicaciones , conceptos basicos transmision datosdigitales transmision digital pasa banda teoria informacion codificacion sistemas comunicaciones 
135,sistemas digitales , circuitos secuenciales sincronicos microprocesadores microcontroladores sistemas digitales 
136,sistemas operativos , estructura sistemas operativos procesos e hilos concurrencia exclusion mutua y sincronizacion gestion memoria v memoria virtual sistemas operativos 
137,sistemas telecomunicaciones , tecnicas senalizacion banda paso modulacion lineal modulacion angular comportamiento sistemas comunicacionanalogica presencia ruido sistemas telecomunicaciones 
138,telecomunicaciones sociedad , etica y moral profesional privacidad propiedad intelectual telecomunicaciones derechos y responsabilidad ciudadanos telecomunicaciones sociedad 
139,telefonia digital , red telefonica tradicional voz sobre ip y telefonia ip introduccion a red nueva generacion (ngn) ysubsistema multimedia ip (ims) simulaciones trafico y senalizacion en telefonia ip telefonia digital 
140,television digital , introduccion a television analogica y digitalizacion senal ecuaciones matematicas tdc entropia y deteccion   correccion errores modelo canal television y redes de television television digital internet y redes cdn y ott television digital 
141,teoria eletromagnetica , electrostatica  conductores y dielectricos campos corriente estacionaria magnetostatica vacio magnetostatica y materiales v induccion electromagnetica teoria eletromagnetica 
142,administracion bases datos , administracion y arquitectura sistemas gestores bases datos bases datos distribuidas y paralelas optimizacion diseno fisico objetos y estructuras avanzadas gestion bases datos administracion bases datos 
143,administracion sistemas operativos , servicios basicos administracion sistemas operativos servicios avanzados administracion dsistemas operativos proteccion y seguridad virtualizacion administracion sistemas operativos 
144,algebrea lineal , matrices y determinantes sistemas ecuaciones lineales vectores r^ y r^ espacios vectoriales y producto interno v transformaciones lineales valores y vectores caracteristicos algebrea lineal 
145,aplicaciones mobiles , arquitectura android y entorno desarrollo implementacion interfaces usuario manejo archivos consumo servicios web y base datos aplicaciones moviles avanzadas aplicaciones mobiles 
146,arquitectura software , modelado arquitectura software arquitectura monolitica software arquitectura clientes servidor arquitecturas distribuidas arquitectura software 
147,arquitecturas empresariales , introduccion a arquitecturas empresariales metricas estimacion software arquitectura empresariales casos estudios arquitecturas empresariales 
148,aseguramiento a calidad software , introduccion al aseguramiento calidad software estandares calidad software desarrollo aplicaciones centrado usuario calidad enfocada al desarrollo software aseguramiento a calidad software 
149,auditoria informatica , fundamentos auditoria informatica metodologias control interno normas y estandares auditoria informatica practicas recomendadas gestion procesos mediante itil auditoria informatica 
150,bases datos , fundamentos bases datos relacionales diseno y modelo datos lenguaje sql definicion datos manipulacion datos normalizacion bases datos 
151,calculo varias variables , sucesiones y series infinitas funciones varias variables calculo diferencial e varias variables calculo integral funciones varias variables calculo varias variables 
152,calculo variable , conjuntos desigualdades y funciones reales limites y continuidad funciones reales derivacion funciones reales integracion funciones reales calculo variable 
153,computacion nube , fundamentos computacion nube arquitectura computacion nube desarrollo software nube virtualizacion servidores y escritorios computacion nube 
154,computacion sociedad , etica y moral profesional privacidad propiedad intelectual tecnologias informacion derechos y responsabilidad ciudadanos computacion sociedad 
155,comunicacion y lenguaje , saber escuchar saber hablar saber leer saber redactar comunicacion y lenguaje 
156,control calidad software , verificacion y validacion software pruebas software confiabilidad software implantacion procesos gestion calidad software control calidad software 
157,desarrollo aplicaciones web , programacion web cliente programacion web servidor servicios web y manejo estados sistema control versiones desarrollo aplicaciones web 
158,desarrollo basado plataformas , introduccion desarrollo basado plataformas diseno y desarrollo interfaces sistema desarrollo servicios e iteraciones a base datos aspectos basicos diseno y despliegue daplicaciones web desarrollo basado plataformas 
159,desarrollo trabajo titulacion , elaboracion trabajo titulacion estudio fase diseno plan tesis fundamentos y argumentos propuesta presentacion propuesta titulacion desarrollo trabajo titulacion 
160,emprendimiento e innovacion , forjadores empresa empresa y sus generalidades creatividad fomentar emprendimiento herramientas emprender emprendimiento e innovacion 
161,estadistica , estadistica descriptiva probabilidades variable aleatoria inferencia estadistica v regresion lineal estadistica 
162,estructura datos , fundamentos a estructuras datos listas pilas y colas conjuntos y mapas v arboles y grafos estructura datos 
163,fundamentos ingenieria software , introduccion a ingenieria software ciclo vida software analisis ingenieria software herramientas representacion software fundamentos ingenieria software 
164,fundamentos programacion , algoritmos y diagramas flujos introduccion a programacion arreglos n dimensionales funciones colecciones y archivos fundamentos programacion 
165,fundamentos tecnologias informacion , fundamentos hardware fundamento software internet y herramientas tic introduccion a seguridad informatica fundamentos tecnologias informacion 
166,gestion proyectos software , fundamentos gestion proyectos fases direccion proyecto herramientas ejecucion monitorizacion y control y cierre proyecto informe final proyecto gestion proyectos software 
167,herramientas diseno , principios diseno grafico y color modulacion y estructura mensaje visual estrategia creata herramientas diseno 
168,interaccion humano computador , fundamentos interaccion humano computador diseno centrado usuario iteraciones prototipos evaluacion interfaces usabilidad y accesibilidad interaccion humano computador 
169,informatica forence , fundamentos informatica forense estandares y procedimientos manejo evidencia digital analisis forense datos almacenados analisis forense redes v presentacion evidencias informatica forence 
170,ingenieria software , introduccion a sistemas cognitos metodologias desarrollo sistemas cognitos herramientas ingenieria ambientes inteligentes caso estudio ingenieria software 
171,introduccion a investigacion cientifica , introduccion investigacion cientifica identificando problema a investigar revision literatura diseno investigacion introduccion a investigacion cientifica 
172,logica difusa , introduccion a logica difusa teoria conjuntos difusos operaciones con conjuntos difusos   decodificacion herramientas aplicacion operaciones difusas (mat lab r python) logica difusa 
