id,documento
11,predicting students' academic performance in advance is of great importance for parents. management of higher education institutions and the student itself. Selection of a right academic program at right time can save time. efforts and resources of both parents and educational institutions. To achieve this goal. an intelligent decision support system (IDSS) is essential to predict students' performance prior to their admissions in any academic program or getting promoted to the higher classes in an academic program. Scope of this work is to first identify key features. influencing students' performance. and then develop an accurate predication model for prediction of their performance. prior to taking admission in an intended program or deciding to continue for higher classes and semesters in the same program or to quit the program at this stage. In this study. first. a subjective method is used for identification of academic and socio-economic features to develop the prediction model and then a decision tree-based algorithm. Logistic Model Trees (LMT). is adopted to learn the intrinsic relationship between the identified features and students' academic grades. The proposed model is trained and tested on a real-world dataset of 1.021 records. collected from examination database of the University of Peshawar. Simulation of the results is performed in Weka 3.8 environment with its default parameters and 10-folds cross validation setting. The proposed system achieved predictive accuracy of 83.48%.which guides parents. management of higher education institutions and students itself to decide whether they should go forward or quit this program at this stage.   2019 IEEE.
12,This paper presents the target requirements. general provisions. methodological principles and architectural and technological requirements for the 'ISTINA' information analysis system. which are the basis for its development and maintenance. The functionality of the system is considered in relation to the requirements of the National Projects 'Digital Economy of the Russian Federation' and 'Science'. which are applied to systems of this kind. The current state of the system and prospects of turning it into a national scope platform are analyzed.   2019 IEEE.
13,The aim of the article is the architecture of the computer-linguistic processing system of web-communities' educational content. which makes it possible to predict and form qualitative students' contingent of higher education institutions and to make management decisions based on the motivational intentions of potential entrants. The paper proposes the architecture and functional structure of the computer-linguistic processing system of educational communities' content for effective planning to provision of educational services based on procedures selection of potential entrants' motivational intentions and the quality of information content for educational communities. Chart data streams of complex information system automated processing of specialized educational content describes the operation of software agents working out of the content. The proposed software agents select relevant thematic educational discussions. identify motivational intentions of potential entrants. and formulate reaction of higher education institutions to selected postings to provide and create quality content for specialized online education communities. The results of the research are applied and can be used to effectively plan educational services and to create quality content for specialized educational communities. taking into account the motivational intentions of potential entrants. Copyright   2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).
14,Programming courses usually focus on software-engineering problems like software decomposition and code maintenance. While computer-science lessons emphasize algorithm complexity. technological problems are usually neglected although they may significantly affect the performance in terms of wall time. As the technological problems are best explained by hands-on experience. we present a set of homework assignments focused on a range of technologies from instruction-level parallelism to GPU programming to cluster computing. These assignments are a product of a decade of development and testing on live subjects ? the students of three performance-related software courses at the Faculty of Mathematics and Physics of the Charles University in Prague.   2021 Elsevier Inc.
15,Abstract: A new approach to creating a domain-specific heterogeneous distributed computing environment is considered. It is used to support decision-making on urgent problems of increasing the survivability of energy systems. The approach is based on the use of high-performance computing. multiagent scheduling of computations and resource assignment. tools for processing semistructured information. and visualization of subject data using electronic maps. Decision-making alternatives are evaluated using combinatorial modeling and multicriteria optimization. Orlando Tools is used as the base for the environment?s integrated software. It implements flexible modular construction of scalable scientific applications (distributed application packages). The advantages of using the environment are demonstrated by the example of solving practical problems.   2021. Pleiades Publishing. Ltd.
16,Academic misconduct stemming from file-sharing websites is an increasingly prevalent challenge in tertiary education. including information technology and engineering disciplines. Current plagiarism detection methods (e.g. text matching) are largely ineffective for combatting misconduct in programming and mathematics based assessments. For these reasons. the development of an effective. automated monitoring tool would provide significant benefit in the struggle against misconduct. To address this challenge. this paper reports an innovative software tool named AssignmentWatch which supports academic integrity by actively monitoring for the upload of assessment content online. with a focus on file-sharing websites. This monitoring and alert notification system reduces the time burden on educators by automating the detection process. The design of AssignmentWatch focuses on early detection which enables educators to take early action. This could include preventative education. or removal of content before it is utilized by students. Through this. AssignmentWatch can reduce incidents of misconduct. The software tool is open source and made freely available to the community. AssignmentWatch was validated under controlled conditions. followed by field testing in 30 assignments. across 16 subjects and 5 higher education institutions. AssignmentWatch was found to effectively detect uploads on a variety of websites. generally within 24 hours. In field testing. AssignmentWatch received positive feedback from educators with 8 out of 10 educators stating AssignmentWatch aided academic integrity and 7 out of 10 users stating AssignmentWatch helped identify assignment content online. Crown
17,Video conferencing has enabled synchronous communication in a classroom and created multi-sensory content to stimulate learners. Artificial intelligence involves complex equations that are better taught using a constructive pedagogy where students experiment with alternative ways of solving the same problem. Multiple-choice questions have high reliability and can easily reveal student skill levels in a quick way. The Australian Computer Society accreditation exercise ensures that the content for each subject serves as a flexible template for teaching. The geographical extent of the country requires the presence of multiple subordinate campuses affiliated to a main campus. Following the concept of strands. it was also necessary to show continuity in learning and assessments between the first- and second-year subjects. Student feedback for subjects with artificial intelligence-based simulations showed that several students found it difficult to understand lectures and assignments. Hence. to measure student learning. we introduced a Kahoot quiz during the recess of each lecture that students could join through their mobile phones from different campuses. Software project management is challenging for students with vision or attention-related disorders. We taught them how to use charts to visually observe variables and narrow down possible relationships before performing in-depth analysis. One of the main purposes of education is employability. Hence. greater context to real world industry examples was introduced into lectures.   2023 by the authors.
18,"English writing instructors are unanimous in the importance of writing, however. they have encountered enormous struggles and challenges due to inadequate training. heavy teaching load and poor providing feedback skills and traditional teaching format. This case study interviewed an experienced American writing instructor. and data were transcribed and coded by following Hycner's 15 coding steps. The study found out the participant's training (pre-service and in-service). teaching experience (length. pedagogy. alternate teaching format and her role in teaching). and providing feedback (e.g.. amount. ways. types and changes). This study offered insights into the possible reform direction of teaching writing. teacher training and providing feedback in China and other countries. PU  - NEW VISION PRESS PI  - LAS VEGAS PA  - 3156 JUANITA DR. LAS VEGAS. NV 89102-7318 USA"
19,Objective There have been only a limited number of studies available on the physical requirements in dance teachers (DT). who are responsible for the training of recreational and/or professional dancers and/or dance students. First results provide indications that a consideration of physical work load (teaching load) of this occupational group is necessary. Methods HR measurements were done on a total of 21 DT (f: n = 18. m: n = 3) aged 48.2 +/- 9.3 years during their lessons in three dance styles: ballet (B). jazz/modern dance (J/MD) and pre-school dance (CD). The HR data were objectified using the spiroergometrically measured maximum HR (HRmax). In addition. the rating of perceived exertion (RPE) was asked directly after the lesson using the Borg scale together with an additional questionnaire. Results Depending on the dance style. the average HR load during the lessons ranged between 56.7{\%} +/- 7.4{\%}) (B) and 63.6{\%} +/- 9.8{\%} (CD) of the individual HRmax. No significant differences could be found between the dance styles for the minimum. medium and maximum teaching loads. The DTs rated the average RPE of the teaching units according to BORG (11.4 +/- 2.1). Correlations between the RPE and the mean and maximum cardiovascular loads (r = 0.376. p = 0.037 and r = 0.441. p = 0.013) could be shown for all dance units and for the mean loads in J/MD (r = 0.558. p = 0.044). Conclusion Most dance units do not represent a load in the sense of a endurance training unit. An increase in aerobic fitness and possible positive effects in the context of injury prevention is not to be expected. In J/MD. the use of RPEs for the rough estimation of cardiovascular stress is conceivable. The assessment of cardiovascular load in dance lessons requires further investigations for more precise assessments. PU  - BMC PI  - LONDON PA  - CAMPUS. 4 CRINAN ST. LONDON N1 9XW. ENGLAND
20,"In 2006. The Impact of Online Teaching on Faculty Load: Computing the Ideal Class Size for Online Courses. shared the results of early research into the ideal class sizes for traditional (i.e.. face-to-face) and online courses based on faculty load. The research was limited to a single instructional technology class taught at the graduate level in both formats. The initial study analyzed the impact of distance learning demands on faculty teaching load and computed the ideal class size for both traditional and online courses. It determined that the ideal class size for graduate courses in technology was 17 students for traditional and 12 students for the distance learning format. This article expands the initial research by examining two universities and their: (1) undergraduate. graduate (i.e.. master's). and doctoral-level courses, (2) traditional. online. and hybrid formats, (3) both 8- and 15-week terms, and. (4) three academic disciplines of general psychology. education. and business. Ideal class sizes are presented for a wider range of post-secondary courses. PU  - IGI GLOBAL PI  - HERSHEY PA  - 701 E CHOCOLATE AVE. STE 200. HERSHEY. PA 17033-1240 USA"
21,In this paper. we investigate the multi-task federated learning in mobile edge computing (MEC) networks where a central server assigns different federated learning tasks to different MEC servers and select feasible clients to participate in the federated learning training process. The problem is formulated as a joint client selection and task assignment problem to maximize the total utility of all tasks. subject to the trained model quality and total training latency. Since the above-mentioned problem is NP-Hard. it poses challenges to obtain the optimal solution within polynomial time. the problem is transformed into a many-to-one-to-one 3D matching problem. To further reduce the computation while ensuring the matching stability. we first adopt the spectral clustering algorithm to cluster the clients into multiple client clusters. Then we reformulate the problem as a 3-Partite weighted hypergraph total weight maximization problem. Finally. we propose a greedy and local search (GLS) based algorithm to resolve the problem. Simulation results demonstrate the effectiveness of the proposed algorithm as compared with baseline schemes. PU  - IEEE PI  - NEW YORK PA  - 345 E 47TH ST. NEW YORK. NY 10017 USA
22,The article describes the developed algorithm for the formation of the training load. covering the whole cycle of operations. including: obtaining the initial data and its processing. aggregating the disciplines. calculating the hours. forming a list of teachers. and downloading the information as the form of a spreadsheet. PU  - KASSEL UNIV PRESS GMBH PI  - KASSEL PA  - DIAGONALE 10. D-34127 KASSEL. GERMANY
23,The purpose of the present study was to explore the contribution of extracurricular coaching on high school teachers' job satisfaction. Specifically. the study looked at how perceptions of the coaching environment (athlete relationships. colleague relationships and opportunities through coaching) influenced teachers' perceptions of stressors (athlete-related and workload-related) and coaching efficacy. and how this in-turn influenced teachers' job satisfaction. The sample examined 2949 teachers from across Canada who volunteered as high school sport coaches. above and beyond their regular teaching load. The results supported that the data fit the model well (SB(264)2 = 973.36. p{\textless}.001. SRMR=.08. CFI=.91. TLI=.90. RMSEA=.055 CI95 [.052. .059]) and that teachers who reported a positive coaching environment had increased coaching efficacy and decreased perceptions of athlete-related and workload-related stressors. Increased coaching efficacy predicted higher job satisfaction. while increased perceptions of stressors predicted lower job satisfaction. PU  - ROUTLEDGE JOURNALS. TAYLOR {\&} FRANCIS LTD PI  - ABINGDON PA  - 2-4 PARK SQUARE. MILTON PARK. ABINGDON OX14 4RN. OXON. ENGLAND
24,Teaching microarchitecture at the undergraduate level is challenging due to two reasons. The first is that in most existing commercial architectures. it is hard if not impossible to separate the digital logic layer from the microarchitecture layer. This is especially true in RISC architectures. Second. such examples take different approaches to the implementation of the microarchitecture layer to the extent that often it is cumbersome to find common concepts to teach students about. apart from overarching and very general concepts. To address these limitations. the fourth edition of Structured Computer Organization by A. S. Tanenbaum introduced an innovative and integrated approach for teaching the subject. This approach was developed from 'scratch'. It consists of a hypothetical hardware that executes Java byte-code and it includes a simulator for this hardware. In this paper. we describe how we fully utilized this approach in our classes. exploiting it to go beyond straightforward applications. Our utilization includes a lab assignment that raises expectations from students from merely understanding the existing implementation to extending it in many different ways. Survey results strongly support the hypothesis that our approach was extremely beneficial to help students grasp microarchitecture concepts in addition to other side-effect gains.   2020 IEEE.
25,Classic Feedback and Control is an undergraduate course that introduces students to concepts and methods for modeling. analysis. and design of single-input-single-output feedback control systems in the Electrical and/or Computer Engineering majors. In addition to using lectures to explain theories and assigning homework assignments for students to practice their modeling and analyses skills. instructors would usually supplement the course by a series of hardware-based experiments and software-based simulation labs so that students can apply the acquired knowledge to physical systems and real-world control problems. Similar to many other institutions. our ECE program offers a Feedback and Control course to junior students in the Electrical Engineering and Electromechanical Engineering majors. This course is a 3-hour lecture. 2-hour lab. as a 4-credit course. Topics discussed include modeling in both the time and the frequency domains. time response. model reduction. stability. steady-state error. root locus. design via root locus. frequency response. and design via frequency response. Due to the COVID-19 pandemic. both students and faculty in our institution were forced to work and study from home in summer 2020. In order to engage students in distance learning. application-oriented and active-learning opportunities were created. A series of exclusively software-based labs and projects were designed to help students gain a better understanding of how the knowledge are useful in real-world situations. Particularly. nine simulation labs and two simulation projects were used in the class of summer 2020. In order to evaluate the effectiveness of the designed simulation labs and projects in helping students to grasp and then apply the control concepts and ideas. surveys were conducted in the summer 2020 class to collect students' opinions and feedbacks. Among the 27 participating students. 81.4% of students ?agree? or ?strongly agree? that simulation laboratory exercises increased their interest in the subject. 85.1% of students ?agree? or ?strongly agree? that simulation laboratory exercises helped them better to learn course content. and 77.7% of the students thought simulation laboratory exercises were excellent or very good. We also compared the percentage of students who performed at the A. A-. B+. B. and B- levels with past records (while teaching was in-person). which turned out to be comparable and similar. This indicates the effectiveness of these simulation-based labs & projects. and their contribution in helping to maintain the course standard.   American Society for Engineering Education. 2021
26,Computer simulation and computational methods are effective ways to teach course concepts and explore higher-level themes. but the learning curve associated with using these tools in advanced applications is often steep. This paper presents strategies for using MATLAB and Simulink to teach advanced concepts in a senior-level vibrations elective course. The delivery of learning modules was changed and adapted over six years to increase their effectiveness. Despite little change in assignment content. several key adjustments increased the effectiveness of these tools and improved student attitude about the assignments. Successful strategies discussed focus on assignment weight. assignment resources. and balance between learning vs. using the software. All of these ideas reach beyond the particular course and simulation tools used. The effectiveness of improvement strategies is evaluated by student course feedback. assignment performance. and instructor observation. Advanced topics of the course detailed in this paper include nonlinear systems. iterative solution. multi-degree of freedom systems. and other problems that are too time-consuming to solve analytically. but the strategies for effective use of computational methods are not unique to this field. The paper presents general conclusions with strategies to implement a computer simulation tool like MATLAB/Simulink to teach advanced topics. The learning modules solve difficult problems that would be impossible to solve analytically without advanced graduate level coursework and/or an inappropriately large amount of time. Over six-years of adapting and changing the learning modules. student success on - and perception of - the assignments improved. Use of computational tools broadens course content delivery by covering topics inaccessible through analytical methods in a first course on the subject matter. It also shows students how computer tools can effectively solve larger engineering problems similar to those encountered beyond undergraduate education.   American Society for Engineering Education. 2021
27,Considering the time-averaged behavior of a metro elastic optical network. we develop a joint procedure for resource allocation and traffic shaping to exploit the inherent service diversity among the requests for power-efficient network operation. To support the quality of service diversity. we consider minimum transmission rate. average transmission rate. maximum burst size. and average transmission delay as the adjustable parameters of a general service profile. The work evolves from a stochastic optimization problem. which minimizes the power consumption subject to stability. physical. and service constraints. The optimal solution of the problem is obtained using a complex dynamic programming method. To provide a near-optimal fast-achievable solution. we propose a sequential heuristic with a scalable and causal software implementation. according to the basic Lyapunov iterations of an integer linear program. The heuristic method has a negligible optimality gap and a considerably shorter runtime compared to the optimal dynamic programming. and reduces the consumed power by 72{\%} for an offered traffic with a unit variation coefficient. The adjustable trade-offs of the proposed scheme offer a typical 10{\%} power saving for an acceptable amount of excess transmission delay or drop rate. (C) 2019 Optical Society of America PU  - OPTICAL SOC AMER PI  - WASHINGTON PA  - 2010 MASSACHUSETTS AVE NW. WASHINGTON. DC 20036 USA
28,According to literature. networking plays an important role when it comes to reinforce the student performance. In this paper we try to deepen in this concept. presenting data gathered within the period 2014-2018. coming from a single Human Resources subject. belonging to Tourism Faculty. Thus. data from 994 students was registered. using their final grade as the explained variable. Independent variables were students' partial grades and whether they co-authored works or assignments through their assessment. using this for building a network model in software Gephi 0.9.2. Right after this. we could execute a statistical study and calculate for any given student their measures according to the place he or she was keeping within the network. Students who co-authored more assignments received a higher score in centrality. for instance. We also calculated their respective degree. betweenness. closeness. eccentricity. clustering coefficient. etc. Furthermore. apart from the academic performance variables. we also included in our study dummy variables. such as the language of teaching. or the group they belonged. With this we could calculate a model that suggested that not the group nor the language was relevant for predicting the final score got by the student. since no effect seemed to have on the final grades. On the other hand. their final score appeared significantly linked with four statistical measures associated with their networking behaviour (measured through the papers and assignments co-authored). Namely. these variables were eccentricity and eigencentrality (positive relationship). or degree and clustering (negative relationship). From our perspective. and according to our results. networking cannot be understood as a tool plainly useful in any way. for it needs to be qualified. The student could need to overcome several drawbacks even in the event they freely choose their networking team (e.g. lack of time. disparity of mates. disagreements with other members of the network. disengagement. etc). Turns out that the limitations of this study. like the short period available for analysis. or the need for including information from other fields and courses. also constrains the chances of applying it in a wider context. The study is part of a wider project which intends to improve the understanding of the student's behaviour when it comes to organise their work on their own. the responsibilities they take. and even how they tackle their job search strategy. PU  - IATED-INT ASSOC TECHNOLOGY EDUCATION {\&} DEVELOPMENT PI  - VALENICA PA  - LAURI VOLPI 6. VALENICA. BURJASSOT 46100. SPAIN
29,In this paper. downlink joint user association. codebook assignment and power allocation for a Sparse Code Multiple Access (SCMA)-based in Cloud Radio Access Network (C-RAN) are investigated. The main aim of this paper is to accomplish a resource allocation to achieve the maximum total sum rate subject to SCMA limitation. total available power in Radio Remote Head (RRH). fronthaul constraint. users association. user power constraint. and Quality of Service requirements for each user with low complexity. To solve the recommended problem an iterative algorithm considering Successive Convex Approximation is utilized. The main problem is separated into two subproblems of joint user association and codebook assignment and power allocation. By defining a new binary variable for user association and codebook assignment and a new constraint for the user association. the joint user association and codebook assignment subproblem becomes an Integer Linear Programming. Then user association and codebook assignment subproblem solved with the help of the CVX toolbox and MOSEK solver. Furthermore. to solve the power allocation subproblem. Successive Convex Approximation with Low Complexity is applied. Then the power allocation subproblem solved by subgradient method for the Lagrange dual problem. In the simulation results. the effectiveness of the recommended optimization algorithm and resource allocation method are shown and compared to Non-Orthogonal Multiple Access and Orthogonal Frequency Division Multiple Access. PU  - WILEY PI  - HOBOKEN PA  - 111 RIVER ST. HOBOKEN 07030-5774. NJ USA
30,Improving the intelligence of teaching environment and making the multimedia teaching equipment has become a major concern of the colleges and universities. To this end. the design of Internet of Things (IoT) technology based wisdom of higher education platform is of great interest. Designing the structure of online management platform for college education and realizing the functions of examination result inquiry. online teaching. and attendance management have gained more importance in the educational research. The wisdom classroom is the key structure of the wisdom education platform. A smart classroom architecture based on IoT technology is designed. which connects with traditional network facilities through the IoT gateway. Different layers of the architectures have been designed and implemented. The proposed platform tests results and shows that the intelligent education platform can effectively control classroom utilization and has high throughput. low application latency. and good practicability.   2021 Jinhua Liu et al.
